letter,ID,amplitude,amplitude_se,time,num_events,frequency,cell,sex,X,Y,age,animal,synapses,treatment,category,R_a,notes,days_alone,animal_or_slicing_problems
RMA1,Concatenatte-RMA1,32.54,1.66,7.75,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.91,1.58,7.83,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.33,1.63,7.92,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.3,1.33,8,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,32.58,1.81,8.08,44,8.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.62,1.63,8.17,48,9.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.19,1.18,8.25,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.17,1.59,8.33,44,8.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.67,1.46,8.42,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.54,1.74,8.5,35,7,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.23,1.87,8.58,33,6.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.12,1.62,8.67,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.98,2.35,8.75,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.73,1.37,8.83,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.17,1.71,8.92,39,7.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.84,1.14,9,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.64,1.71,9.08,32,6.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.36,1.4,9.17,37,7.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.44,2.16,9.25,41,8.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.66,1.21,9.33,39,7.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.73,1.64,9.42,41,8.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,23.86,1.15,9.5,31,6.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,22.08,1.01,9.58,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.44,2.02,9.67,37,7.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.9,2.01,9.75,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.18,1.7,9.83,36,7.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.85,1.83,9.92,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.62,2.05,10,35,7,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.59,1.59,10.08,34,6.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.65,1.85,10.17,36,7.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.35,1.63,10.25,30,6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.23,2.71,10.33,34,6.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.87,2.97,10.42,32,6.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.11,2.13,10.5,36,7.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.35,2.16,10.58,32,6.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,22.2,1.17,10.67,30,6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.51,2.27,10.75,30,6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.91,1.8,10.83,35,7,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,22.51,1.5,10.92,24,4.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.7,2.57,11,23,4.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.04,2.1,11.08,36,7.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.5,2.01,11.17,29,5.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.84,2.27,11.25,30,6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.7,1.61,11.33,29,5.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.54,2.03,11.42,29,5.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.61,1.75,11.5,28,5.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
