"letter	ID	amplitude	amplitude_se	time	num_events	frequency	cell	sex	X	Y	age	animal	synapses	treatment	category	R_a	notes	days_alone	animal_or_slicing_problems",,,,,,,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.88	0.9	3.08	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25	1.25	3.17	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.62	1.07	3.25	50	10	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.09	1.01	3.33	51	10.2	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.65	1.23	3.42	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.17	1.15	3.5	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.17	1.06	3.58	47	9.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.01	0.85	3.67	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	22.92	1.24	3.75	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	21.79	1.01	3.83	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
